İl;İlçe;Okul Adı
ADANA;ALADAĞ;Akören Çok Programlı Anadolu Lisesi
ADANA;ALADAĞ;Akören İlkokulu
ADANA;ALADAĞ;Akören Ortaokulu
ADANA;ALADAĞ;Aladağ Halk Eğitimi Merkezi
ADANA;ALADAĞ;Aladağ İmam Hatip Ortaokulu
ADANA;ALADAĞ;Aladağ Öğretmenevi ve Akşam Sanat Okulu
ADANA;ALADAĞ;Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi
ADANA;ALADAĞ;Atatürk İlkokulu
ADANA;ALADAĞ;Atatürk Ortaokulu
ADANA;ALADAĞ;Boztahta Şehit Serdar Yıldırım İlkokulu
ADANA;ALADAĞ;Boztahta Şehit Serdar Yıldırım Ortaokulu
ADANA;ALADAĞ;Büyüksofulu İmam Hatip Ortaokulu
ADANA;ALADAĞ;Büyüksofulu Şehit Ziya Şahin İlkokulu
ADANA;ALADAĞ;Ceritler Necati Özsırkıntı İlkokulu
ADANA;ALADAĞ;Darılık İlkokulu
ADANA;ALADAĞ;Dölekli İlkokulu
ADANA;ALADAĞ;Dölekli Ortaokulu
ADANA;ALADAĞ;Gerdibi İlkokulu
ADANA;ALADAĞ;Gerdibi Ortaokulu
ADANA;ALADAĞ;Gerdibi Sivişli İlkokulu
ADANA;ALADAĞ;Gökçeköy İlkokulu
ADANA;ALADAĞ;Kabasakal İlkokulu
ADANA;ALADAĞ;Karahan İlkokulu
ADANA;ALADAĞ;Karatepe İlkokulu
ADANA;ALADAĞ;Kıcak Şehit Arif Mamış İlkokulu
ADANA;ALADAĞ;Kıcak Şehit Arif Mamış Ortaokulu
ADANA;ALADAĞ;Kışlak İlkokulu
ADANA;ALADAĞ;Kızıldam İlkokulu
ADANA;ALADAĞ;Kökez Cumhuriyet İlkokulu
ADANA;ALADAĞ;Kökez İlkokulu
ADANA;ALADAĞ;Kökez Ortaokulu
ADANA;ALADAĞ;Köprücük İlkokulu
ADANA;ALADAĞ;Köprücük Mengez İlkokulu
ADANA;ALADAĞ;Küp İlkokulu
ADANA;ALADAĞ;Sanko Aladağ Anadolu Lisesi
ADANA;ALADAĞ;Sinanpaşa İlkokulu
ADANA;ALADAĞ;Şehit Adem Oğuz Yatılı Bölge Ortaokulu
ADANA;ALADAĞ;Tereli İlkokulu
ADANA;ALADAĞ;Yetimli İlkokulu
ADANA;CEYHAN;100. Yıl Sarısakal İlkokulu
ADANA;CEYHAN;23 Nisan İlkokulu
ADANA;CEYHAN;60.Yıl Manas İlkokulu
ADANA;CEYHAN;75.Yıl Cumhuriyet Anaokulu
ADANA;CEYHAN;Ali Fevziye Özçelik İlkokulu
ADANA;CEYHAN;Altı Ocak Ticaret Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Anadolu İmam Hatip Lisesi
ADANA;CEYHAN;Arif Nihat Asya Ortaokulu
ADANA;CEYHAN;Arif-Hasan Bilici İmam Hatip Ortaokulu
ADANA;CEYHAN;Atatürk İlkokulu
ADANA;CEYHAN;Ayşe Malaz İlkokulu
ADANA;CEYHAN;Başören İlkokulu
ADANA;CEYHAN;Başören Ortaokulu
ADANA;CEYHAN;Beşocak İlkokulu
ADANA;CEYHAN;Birkent İlkokulu
ADANA;CEYHAN;Birkent Ortaokulu
ADANA;CEYHAN;Borsa İstanbul Ceyhan Anadolu Lisesi
ADANA;CEYHAN;Botaş İlkokulu
ADANA;CEYHAN;Botaş Ortaokulu
ADANA;CEYHAN;Büyükmangıt Atakuş Kardeşler Anaokulu
ADANA;CEYHAN;Büyükmangıt Şehit Cüneyt Muhacir Ortaokulu
ADANA;CEYHAN;Cengiz Topel İlkokulu
ADANA;CEYHAN;Cennet Çetin Anaokulu
ADANA;CEYHAN;Ceyhan Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Anaokulu
ADANA;CEYHAN;Ceyhan Biliciler Turizm Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Bilim ve Sanat Merkezi
ADANA;CEYHAN;Ceyhan Devlet Hastanesi Bekir Özer Anaokulu
ADANA;CEYHAN;Ceyhan Halk Eğitimi Merkezi
ADANA;CEYHAN;Ceyhan Kız Anadolu İmam Hatip Lisesi
ADANA;CEYHAN;Ceyhan Mesleki Eğitim Merkezi
ADANA;CEYHAN;Ceyhan Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Ceyhan Öğretmenevi ve Akşam Sanat Okulu
ADANA;CEYHAN;Ceyhan Özel Eğitim Uygulama Okulu III. Kademe
ADANA;CEYHAN;Ceyhan Polis Amca Anaokulu
ADANA;CEYHAN;Ceyhan Rehberlik ve Araştırma Merkezi
ADANA;CEYHAN;Ceyhan Şehit Tuncay Ateş İmam Hatip Ortaokulu
ADANA;CEYHAN;Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi
ADANA;CEYHAN;Ceyhan Türkiye Odalar ve Borsalar Birliği Anaokulu
ADANA;CEYHAN;Cumhuriyet İlkokulu
ADANA;CEYHAN;Çakabey Denizcilik Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;Çakaldere İlkokulu
ADANA;CEYHAN;Çataklı Tatarlı Bakırlı İlkokulu
ADANA;CEYHAN;Çataklı Tatarlı Bakırlı Ortaokulu
ADANA;CEYHAN;Dokuztekne Şehit Adem Çoban İlkokulu
ADANA;CEYHAN;Dokuztekne Şehit Adem Çoban Ortaokulu
ADANA;CEYHAN;Doruk Merkez İlkokulu
ADANA;CEYHAN;Doruk Şehit Necip Un Ortaokulu
ADANA;CEYHAN;Dumlupınar İlkokulu
ADANA;CEYHAN;Eczacı Bahattin-Sevinç Erdinç Fen Lisesi
ADANA;CEYHAN;Fatih Sultan Mehmet İlkokulu
ADANA;CEYHAN;Fevzi Çakmak Ortaokulu
ADANA;CEYHAN;Gazi Ortaokulu
ADANA;CEYHAN;Gaziosmanpaşa İlkokulu
ADANA;CEYHAN;Güler Aral Anaokulu
ADANA;CEYHAN;Gümürdülü Ortaokulu
ADANA;CEYHAN;Gümürdülü Şehit Ali Fuat Haydaroğlu İlkokulu
ADANA;CEYHAN;Gümüşdere İlkokulu
ADANA;CEYHAN;Hafsa Sultan Anaokulu
ADANA;CEYHAN;Halil Çiftçi Anadolu Lisesi
ADANA;CEYHAN;Hamdilli İlkokulu
ADANA;CEYHAN;Hamdilli Ortaokulu
ADANA;CEYHAN;Hamidiye Anaokulu
ADANA;CEYHAN;Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;İhsan Demirtaş İlkokulu
ADANA;CEYHAN;İlbeyli-Beyteks Mesleki ve Teknik Anadolu Lisesi
ADANA;CEYHAN;İsmail-Ayşe Önük Ortaokulu
ADANA;CEYHAN;Kadir Sevil Aydar Anaokulu
ADANA;CEYHAN;Kasım Garipoğlu Anadolu Lisesi
ADANA;CEYHAN;Kaymakam Gürbüz Karakuş Ortaokulu
ADANA;CEYHAN;Kıvrıklı İlkokulu
ADANA;CEYHAN;Körkuyu İlkokulu
ADANA;CEYHAN;Kösreli İlkokulu
ADANA;CEYHAN;Kösreli Ortaokulu
ADANA;CEYHAN;Kurtkulağı Orhan Ekinci İlkokulu
ADANA;CEYHAN;Kurtkulağı Orhan Ekinci Ortaokulu
ADANA;CEYHAN;Kuzucak İlkokulu
ADANA;CEYHAN;Kuzucak Ortaokulu
ADANA;CEYHAN;Küçükmangıt İlkokulu
ADANA;CEYHAN;Mehmet Akif Ersoy İlkokulu
ADANA;CEYHAN;Mehmet Orhun Yaylacı Anadolu Lisesi
ADANA;CEYHAN;Mehmetçik İlkokulu
ADANA;CEYHAN;Mercimek Anaokulu
ADANA;CEYHAN;Mercimek Tevhide Atçı İlkokulu
ADANA;CEYHAN;Mercimek Tevhide Atçı Ortaokulu
ADANA;CEYHAN;Mithatpaşa Şehit Battal Özaslan İlkokulu
ADANA;CEYHAN;Mustafabeyli İlkokulu
ADANA;CEYHAN;Mustafabeyli Ortaokulu
ADANA;CEYHAN;Mürüvvet-Mahmut Kayhan Anaokulu
ADANA;CEYHAN;Namık Kemal İlkokulu
ADANA;CEYHAN;Necati Akçağlılar İlkokulu
ADANA;CEYHAN;Nurhan Demirtaş Ortaokulu
ADANA;CEYHAN;Pamukeli Ortaokulu
ADANA;CEYHAN;Polis Amca Özel Eğitim Anaokulu
ADANA;CEYHAN;Remzi Oğuz Arık İlkokulu
ADANA;CEYHAN;Sağkaya Çok Programlı Anadolu Lisesi
ADANA;CEYHAN;Sağkaya İlkokulu
ADANA;CEYHAN;Sağkaya Şehit Eren Öztürk Ortaokulu
ADANA;CEYHAN;Sakarya İlkokulu
ADANA;CEYHAN;Sakarya Ortaokulu
ADANA;CEYHAN;Sakine Garipoğlu İlkokulu
ADANA;CEYHAN;Sarıbahçe İlkokulu
ADANA;CEYHAN;Sarısakal İlkokulu
