İl;İlçe;Okul Adı
ADANA;ÇUKUROVA;BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT FEN LİSESİ
ADANA;ÇUKUROVA;BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT İLKOKULU
ADANA;ÇUKUROVA;BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT ORTAOKULU
ADANA;ÇUKUROVA;ÖZEL  ÇUKUROVA HAYALİM ANAOKULU
ADANA;ÇUKUROVA;ÖZEL  ÇUKUROVA TEKNOLOJİ KOLEJİ MESLEKİ VE TEKNİK ANADOLU LİSESİ
ADANA;ÇUKUROVA;ÖZEL  YENİ ADIM VERİMLİ İLGİLİ PLANLI (VİP) SOSYAL ETKİNLİK VE GELİŞİM MERKEZİ
ADANA;ÇUKUROVA;ÖZEL AÇELYA KÜÇÜK SOSYAL ETKİNLİK VE GELİŞİM MERKEZİ
ADANA;ÇUKUROVA;ÖZEL ADANA ÇAĞDAŞ ANAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA ÇAĞLA KOLEJİ İLKOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA ÇAM ANAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA ÇOCUK KULÜBÜ ANAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA ÇUKUROVA MODERN SOSYAL ETKİNLİK VE GELİŞİM MERKEZİ
ADANA;ÇUKUROVA;ÖZEL ADANA DOĞA ANADOLU LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA DOĞA FEN LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA DOĞA İLKOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA DOĞA ORTAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA EĞİTİMDE TEK ADRES (ETA) KOLEJİ ANADOLU LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA EKİCİ SOSYAL ETKİNLİK VE GELİŞİM MERKEZİ
ADANA;ÇUKUROVA;ÖZEL ADANA EKİM KOLEJİ ANAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA EKİM KOLEJİ FEN LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA EKİM KOLEJİ İLKOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA EKİM KOLEJİ ORTAOKULU
ADANA;ÇUKUROVA;ÖZEL ADANA FAVORİ FEN BİLİMLERİ ANADOLU LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA FAVORİ FEN BİLİMLERİ FEN  LİSESİ
ADANA;ÇUKUROVA;ÖZEL ADANA FİNAL ANADOLU LİSESİ
